Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,977.8999999999999,0.0,1.0,6.519333333333332,0.0,0.0456962962998284,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8628441524035954,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
Kalai-Smorodinsky,977.4,-0.587919463087248,0.9933333333333333,6.512080536912752,7.1,0.04561570967293307,0.9933333333333333,0.0033333333333333335,0.007407407407407418,0.9933333333333333,0.006666666666666667,0.9230769230769229,0.9988325939756653,1.0,0.9906542056074764,0.9665781689556732,1.0,0.9933333333333333,0.998832593975665,0.9665781689556745,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.9750308705349859
Policy_Maker,972.6000000476838,1.7183673310442042,0.98,6.518367346938776,4.800000015894572,0.04568556311766667,0.98,0.03533333301544189,0.022222222222222254,0.98,0.02,0.7692307692307688,0.9876254962533825,0.4619658985459519,0.9719626168224299,0.9955486088126833,0.6760563402668411,0.98,0.9876254962533819,0.9955486088126828,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,0.9424809748593669
Compromise Programming,955.7000000953676,1.683451526046646,0.94,6.4723404255319155,4.788888899485269,0.04517415287981266,0.9466666666666667,0.14799999936421712,-0.08148148148148149,0.94,0.06,0.15384615384615352,0.9481671727421933,0.47011141358606234,0.9158878504672896,0.7834505570342638,0.6744913942937,0.9466666666666667,0.9481671727421926,0.7834505570342638,7.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,0.7557594433911888
Nash Bargaining,911.8999999046325,2.601846595243974,0.8533333333333334,6.4609375,3.859090904756026,0.04504745370723583,0.86,0.4400000006357828,-0.059259259259259234,0.8533333333333334,0.14666666666666667,0.3846153846153847,0.8459024045651199,0.25585884660577,0.794392523364486,0.7309043902264795,0.5435339302473277,0.86,0.8459024045651198,0.7309043902264807,5.0,8.0,8.0,8.0,5.0,7.0,8.0,8.0,5.0,0.736284435881397
Maximin,863.5999998331068,2.9368944147062592,0.7666666666666667,6.442608695652173,3.505714280945914,0.044843800325593305,0.78,0.76200000111262,0.03703703703703709,0.7666666666666667,0.23333333333333334,0.6153846153846148,0.7331309824473633,0.17769547466641097,0.6728971962616822,0.6464428712985056,0.4937625747811146,0.78,0.7331309824473634,0.6464428712985067,4.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,0.7109916938260972
Parent,916.6999998569489,2.5746153917679417,0.8666666666666667,6.454615384615384,3.8799999928474427,0.0449772079807401,0.8733333333333333,0.40800000095367434,-0.07407407407407407,0.8666666666666667,0.13333333333333333,0.23076923076923062,0.8571095022874032,0.26221161944001636,0.8130841121495328,0.701771258676311,0.5464788722320342,0.8733333333333333,0.8571095022874029,0.7017712586763123,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,0.7072633316799226
Nash Social Welfare,917.4999998569488,2.357372446259422,0.8733333333333333,6.415267175572519,4.057894729313097,0.044540005658041594,0.88,0.40266666762034103,-0.08148148148148149,0.8733333333333333,0.12666666666666668,0.15384615384615352,0.8589773519263388,0.31289226908052464,0.822429906542056,0.5204495837984917,0.5715344689173376,0.88,0.8589773519263387,0.520449583798492,7.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.658654617914197
Proportional Fairness,917.4999998569488,2.357372446259422,0.8733333333333333,6.415267175572519,4.057894729313097,0.044540005658041594,0.88,0.40266666762034103,-0.08148148148148149,0.8733333333333333,0.12666666666666668,0.15384615384615352,0.8589773519263388,0.31289226908052464,0.822429906542056,0.5204495837984917,0.5715344689173376,0.88,0.8589773519263387,0.520449583798492,7.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.658654617914197
Healthcare_Provider,549.6000001907349,3.698587261855772,0.2866666666666667,6.30232558139535,2.6037383195395782,0.04328509905607305,0.3,2.8553333320617678,-0.09629629629629627,0.2866666666666667,0.7133333333333334,0.0,0.0,0.0,0.0,0.0,0.3667237069774054,0.3,0.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.12
