Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3876.1,0.0,1.0,6.492629815745394,0.0,0.04502884795429231,0.9916247906197655,0.0068676716917923,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9939943559969581,0.0,0.9916247906197655,1.0,0.9939943559969587,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,0.995448787447298
Kalai-Smorodinsky,3876.1,0.0,1.0,6.492629815745394,0.0,0.04502884795429231,0.9916247906197655,0.0068676716917923,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9939943559969581,0.0,0.9916247906197655,1.0,0.9939943559969587,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,0.995448787447298
Policy_Maker,3871.6,2.39310924369748,0.9966499162479062,6.4931092436974795,4.1,0.045034174931537704,0.9882747068676717,0.014405360134003353,0.0035906642728904536,0.9966499162479062,0.0033500837520938024,0.9428571428571434,0.9972103403395302,0.37145794306551366,0.995249406175772,1.0,0.8907510870727682,0.9882747068676717,0.99721034033953,1.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,0.9833233793864034
Compromise Programming,3790.7999998569485,1.855683786496936,0.9413735343383585,6.458540925266903,4.602857138769967,0.0446500825045313,0.9430485762144054,0.1497487439582096,0.0628366247755835,0.9413735343383585,0.05862646566164154,0.0,0.9471204512361897,0.5126109235269808,0.9168646080760096,0.5669734871012676,1.0,0.9430485762144054,0.9471204512361899,0.5669734871012674,10.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,5.0,0.6800382181532536
Maximin,3208.1999998569486,3.3744319957771136,0.6834170854271356,6.442156862745097,3.0677248669679837,0.04446803736540012,0.6917922948073701,1.1256281409431343,-0.00902154398563726,0.6834170854271356,0.3165829145728643,0.8564285714285728,0.585952513860688,0.11371683796002699,0.5510688836104513,0.36173546040405313,0.6664827463638768,0.6917922948073701,0.5859525138606881,0.3617354604040531,4.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,0.6375402270616108
Parent,3523.7999999523163,3.049279678545247,0.8324958123953099,6.4132796780684105,3.3639999995231635,0.04414717975788138,0.8375209380234506,0.5969849247029879,0.018761220825852742,0.8324958123953099,0.16750418760469013,0.7014285714285722,0.7816006447740971,0.19911699544475875,0.7624703087885986,0.0,0.7308504040214755,0.8375209380234506,0.781600644774097,0.0,5.0,5.0,6.0,5.0,10.0,4.0,5.0,5.0,10.0,0.631614218449914
Nash Bargaining,3522.699999952316,3.0384801186452233,0.830820770519263,6.414717741935483,3.37623762329026,0.0441631582452933,0.8358458961474037,0.5988274707666393,0.02055655296229797,0.830820770519263,0.16917922948073702,0.6728571428571438,0.7809187279682042,0.20195346336256273,0.7600950118764845,0.018014176273422396,0.7335091056492142,0.8358458961474037,0.7809187279682044,0.018014176273425966,6.0,6.0,5.0,6.0,9.0,3.0,6.0,6.0,9.0,0.6286963678787162
Nash Social Welfare,3514.3000000953675,3.3089461882962246,0.8274706867671692,6.4574898785425106,3.148543690246286,0.0446384042075936,0.8324958123953099,0.6128978222858167,-0.05623877917414721,0.8274706867671692,0.17252931323283083,0.1050000000000002,0.7757113633573416,0.13091646402910626,0.7553444180522565,0.5538073535251883,0.6840411499470694,0.8324958123953099,0.7757113633573415,0.5538073535251872,8.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,0.6199020683346299
Proportional Fairness,3514.3000000953675,3.3089461882962246,0.8274706867671692,6.4574898785425106,3.148543690246286,0.0446384042075936,0.8324958123953099,0.6128978222858167,-0.05623877917414721,0.8274706867671692,0.17252931323283083,0.1050000000000002,0.7757113633573416,0.13091646402910626,0.7553444180522565,0.5538073535251883,0.6840411499470694,0.8324958123953099,0.7757113633573415,0.5538073535251872,8.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,0.6199020683346299
Healthcare_Provider,2262.999999392033,3.8073971618846127,0.2948073701842546,6.475568181818182,2.668171019933569,0.04483927424398995,0.30318257956448913,2.7088777229614194,0.032360861759425485,0.2948073701842546,0.7051926298157454,0.4850000000000002,0.0,0.0,0.0,0.780268604231133,0.5796771308541179,0.30318257956448913,0.0,0.7802686042311336,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,4.0,0.3743267526720224
