Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,977.8999999999999,0.0,1.0,6.519333333333332,0.0,0.0456962962998284,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8648967823626806,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
Kalai-Smorodinsky,977.4,-0.587919463087248,0.9933333333333333,6.512080536912752,7.1,0.04561570967293307,0.9933333333333333,0.0033333333333333335,0.007407407407407418,0.9933333333333333,0.006666666666666667,0.8999999999999999,0.9987995198075799,1.0,0.9903846153846153,0.9566115005184621,1.0,0.9933333333333333,0.9987995198075795,0.9566115005184637,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.9684155373985421
Policy_Maker,972.6000000476838,1.7183673310442042,0.98,6.518367346938776,4.800000015894572,0.04568556311766667,0.98,0.03533333301544189,0.022222222222222254,0.98,0.02,0.6999999999999995,0.9872749100748307,0.4700179425164267,0.9711538461538461,0.9942211668784138,0.6760563402668411,0.98,0.9872749100748301,0.9942211668784132,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,0.9282992153906487
Compromise Programming,961.3000000476837,1.3277722209602691,0.9533333333333334,6.470629370629371,5.142857149669102,0.045155141158673286,0.96,0.11066666634877523,-0.022222222222222254,0.9533333333333334,0.04666666666666667,0.6999999999999995,0.9601440577261289,0.5597762503782493,0.9326923076923077,0.7086376429189043,0.7243460774181835,0.96,0.9601440577261284,0.7086376429189053,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,0.8577563401290067
Nash Social Welfare,931.6999998092651,1.8770013380662265,0.8866666666666667,6.42406015037594,4.5470588123097135,0.0446377053780796,0.9,0.3080000012715658,-0.022222222222222143,0.8866666666666667,0.11333333333333333,0.7000000000000011,0.8890756297624058,0.4335640298277158,0.8365384615384616,0.4300459836951459,0.6404308186351709,0.9,0.8890756297624055,0.43004598369514585,3.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.7638243226915106
Proportional Fairness,931.6999998092651,1.8770013380662265,0.8866666666666667,6.42406015037594,4.5470588123097135,0.0446377053780796,0.9,0.3080000012715658,-0.022222222222222143,0.8866666666666667,0.11333333333333333,0.7000000000000011,0.8890756297624058,0.4335640298277158,0.8365384615384616,0.4300459836951459,0.6404308186351709,0.9,0.8890756297624055,0.43004598369514585,3.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.7638243226915106
Maximin,872.2999997854233,2.8052059117082306,0.78,6.432478632478633,3.627272720770402,0.04473124406810952,0.7933333333333333,0.7040000014305116,0.022222222222222254,0.78,0.22,0.6999999999999995,0.7464585828456156,0.22026368446034184,0.6826923076923077,0.4804079799744772,0.5108834817986482,0.7933333333333333,0.7464585828456154,0.4804079799744775,5.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,0.7027066458973519
Nash Bargaining,911.8999999046325,2.601846595243974,0.8533333333333334,6.4609375,3.859090904756026,0.04504745370723583,0.86,0.4400000006357828,-0.059259259259259234,0.8533333333333334,0.14666666666666667,0.2000000000000003,0.8415366143715302,0.2669954219105268,0.7884615384615385,0.6506578376972432,0.5435339302473277,0.86,0.84153661437153,0.6506578376972446,9.0,8.0,8.0,8.0,5.0,7.0,8.0,8.0,5.0,0.682438890413755
Parent,916.6999998569489,2.5746153917679417,0.8666666666666667,6.454615384615384,3.8799999928474427,0.0449772079807401,0.8733333333333333,0.40800000095367434,-0.07407407407407407,0.8666666666666667,0.13333333333333333,0.0,0.8530612241042799,0.27325312120564704,0.8076923076923077,0.6128369636259337,0.5464788722320342,0.8733333333333333,0.8530612241042794,0.6128369636259354,10.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,0.6425129708793764
Healthcare_Provider,561.4000001192094,3.7637123734356988,0.30666666666666664,6.3521739130434804,2.5884615396077817,0.04383896940771894,0.32,2.776666665871938,-0.04444444444444445,0.30666666666666664,0.6933333333333334,0.3999999999999998,0.0,0.0,0.0,0.0,0.36457204783208197,0.32,0.0,0.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.20799999999999996
